source,entity,count,activities,birth_year,death_year,страна
A Sinistra  А Синистра  Левый Путь,Соломон,5.0,"['правитель', 'царь']",,,Израильское царство
A Sinistra  А Синистра  Левый Путь,Марк (евангелист),2.0,['святой'],,,Древний Рим
A Sinistra  А Синистра  Левый Путь,"Толстой, Лев Николаевич",7.0,['публицист'],1828.0,1910.0,Российская империя
A Sinistra  А Синистра  Левый Путь,"Оруэлл, Джордж",1.0,"['писатель', 'критик', 'публицист', 'журналист']",1903.0,1950.0,Великобритания
A Sinistra  А Синистра  Левый Путь,"Поршнев, Борис Фёдорович",1.0,"['историк', 'социолог']",1905.0,1972.0,СССР
A Sinistra  А Синистра  Левый Путь,Бог,2.0,['бог'],,,
A Sinistra  А Синистра  Левый Путь,Дионис,2.0,['бог'],,,
A Sinistra  А Синистра  Левый Путь,Протесилай,2.0,['царь'],,,
A Sinistra  А Синистра  Левый Путь,Игнатий де Лойола,2.0,"['деятель', 'святой']",1491.0,1556.0,Королевство Кастилия и Леон
A Sinistra  А Синистра  Левый Путь,Диоклетиан,1.0,['император'],,,Древний Рим
A Sinistra  А Синистра  Левый Путь,"Абрамович, Роман Аркадьевич",1.0,['предприниматель'],1966.0,,СССР
A Sinistra  А Синистра  Левый Путь,Аристотель,3.0,['философ'],,,Стагир
A Sinistra  А Синистра  Левый Путь,Архимед,1.0,"['учёный', 'инженер']",,,Сиракузы
A Sinistra  А Синистра  Левый Путь,"Добронравов, Виктор Фёдорович",2.0,"['актёр', 'музыкант', 'певец']",1983.0,,Россия
A Sinistra  А Синистра  Левый Путь,Иисус Христос,1.0,"['святой', 'бог']",,,Иродианская Иудея
A Sinistra  А Синистра  Левый Путь,"Скалигер, Жозеф Жюст",2.0,['историк'],1540.0,1609.0,Королевство Франция
A Sinistra  А Синистра  Левый Путь,"Нери, Филипп",3.0,['святой'],,,Флоренция
A Sinistra  А Синистра  Левый Путь,Лаэрт (мифология),1.0,['царь'],,,
A Sinistra  А Синистра  Левый Путь,Франциск Ассизский,2.0,['святой'],1181.0,1226.0,Ассизи
A Sinistra  А Синистра  Левый Путь,"Колчак, Александр Васильевич",1.0,"['учёный', 'деятель', 'правитель']",1874.0,1920.0,Российская империя
A Sinistra  А Синистра  Левый Путь,"Гурджиев, Георгий Иванович",6.0,"['писатель', 'композитор', 'философ', 'мистик']",1866.0,1949.0,Российская империя
A Sinistra  А Синистра  Левый Путь,"Ван Гог, Винсент",1.0,['живописец'],1853.0,1890.0,Королевство Нидерландов
A Sinistra  А Синистра  Левый Путь,"Жуков, Георгий Константинович",2.0,['деятель'],1896.0,1974.0,Российская империя
A Sinistra  А Синистра  Левый Путь,Парацельс,5.0,['философ'],1493.0,1541.0,Швейцария
A Sinistra  А Синистра  Левый Путь,Конфуций,1.0,['философ'],,,Лу
A Sinistra  А Синистра  Левый Путь,"Муссолини, Бенито",1.0,"['публицист', 'деятель']",1883.0,1945.0,Итальянская социальная республика
A Sinistra  А Синистра  Левый Путь,"Марат, Жан-Поль",1.0,"['журналист', 'деятель']",1743.0,1793.0,Франция
A Sinistra  А Синистра  Левый Путь,"Чехов, Антон Павлович",1.0,"['писатель', 'драматург', 'публицист', 'деятель']",1860.0,1904.0,Российская империя
A Sinistra  А Синистра  Левый Путь,Аврелий Августин,1.0,"['философ', 'богослов']",,,Древний Рим
A Sinistra  А Синистра  Левый Путь,Аврора,3.0,['богиня'],,,
A Sinistra  А Синистра  Левый Путь,Мухаммед,1.0,['пророк'],,,Мекка
A Sinistra  А Синистра  Левый Путь,Селена,23.0,['богиня'],,,
A Sinistra  А Синистра  Левый Путь,"Макиавелли, Никколо",8.0,"['писатель', 'философ', 'деятель']",1469.0,1527.0,Флорентийская республика
A Sinistra  А Синистра  Левый Путь,"Линч, Дэвид",1.0,"['сценарист', 'актёр', 'художник']",1946.0,2025.0,США
A Sinistra  А Синистра  Левый Путь,Троица,1.0,['бог'],,,
A Sinistra  А Синистра  Левый Путь,Вакх,1.0,['бог'],,,
A Sinistra  А Синистра  Левый Путь,Карл III (король Великобритании),1.0,['правитель'],1948.0,,Великобритания
A Sinistra  А Синистра  Левый Путь,"Пирсиг, Роберт",1.0,"['писатель', 'философ']",1928.0,2017.0,США
A Sinistra  А Синистра  Левый Путь,Платон,5.0,['философ'],,,Древние Афины
A Sinistra  А Синистра  Левый Путь,Гай Юлий Цезарь,2.0,"['писатель', 'деятель', 'полководец']",,,Древний Рим
A Sinistra  А Синистра  Левый Путь,Молох,1.0,['божество'],,,
A Sinistra  А Синистра  Левый Путь,Аполлон,3.0,"['предводитель', 'бог']",,,Делос
A Sinistra  А Синистра  Левый Путь,"Ленин, Владимир Ильич",1.0,"['деятель', 'революционер']",1870.0,1924.0,Российская империя
A Sinistra  А Синистра  Левый Путь,"Шекспир, Уильям",3.0,"['поэт', 'драматург']",1564.0,1616.0,Королевство Англия
A Sinistra  А Синистра  Левый Путь,"Гитлер, Адольф",1.0,['деятель'],1889.0,1945.0,Цислейтания
A Sinistra  А Синистра  Левый Путь,Гаумата,1.0,['царь'],,,Держава Ахеменидов
A Sinistra  А Синистра  Левый Путь,Баал,1.0,['бог'],,,
A Sinistra  А Синистра  Левый Путь,Нерон,3.0,['император'],,,Древний Рим
A Sinistra  А Синистра  Левый Путь,Николай Чудотворец,1.0,['святой'],,,Древний Рим
A Sinistra  А Синистра  Левый Путь,Одиссей,3.0,['царь'],,,
